Temperature	Well	Fluorescence
25.0	A1	3624.65
25.5	A1	3620.63
26.0	A1	3616.61
26.5	A1	3612.59
27.0	A1	3608.57
27.5	A1	3604.55
28.0	A1	3600.53
28.5	A1	3596.44
29.0	A1	3592.07
29.5	A1	3588.18
30.0	A1	3584.24
30.5	A1	3580.5
31.0	A1	3577.68
31.5	A1	3576.43
32.0	A1	3576.27
32.5	A1	3577.65
33.0	A1	3580.12
33.5	A1	3583.62
34.0	A1	3588.05
34.5	A1	3593.43
35.0	A1	3599.26
35.5	A1	3606.27
36.0	A1	3614.35
36.5	A1	3622.82
37.0	A1	3631.99
37.5	A1	3641.66
38.0	A1	3651.64
38.5	A1	3661.95
39.0	A1	3673.49
39.5	A1	3686.03
40.0	A1	3700.35
40.5	A1	3716.2
41.0	A1	3733.63
41.5	A1	3752.11
42.0	A1	3771.72
42.5	A1	3792.28
43.0	A1	3813.88
43.5	A1	3836.16
44.0	A1	3859.08
44.5	A1	3882.38
45.0	A1	3905.82
45.5	A1	3929.31
46.0	A1	3952.66
46.5	A1	3976.31
47.0	A1	3999.9
47.5	A1	4023.34
48.0	A1	4046.31
48.5	A1	4068.93
49.0	A1	4090.26
49.5	A1	4110.35
50.0	A1	4128.7
50.5	A1	4145.28
51.0	A1	4159.68
51.5	A1	4172.22
52.0	A1	4183.18
52.5	A1	4192.55
53.0	A1	4200.65
53.5	A1	4208.03
54.0	A1	4214.77
54.5	A1	4220.89
55.0	A1	4227.44
55.5	A1	4234.46
56.0	A1	4242.77
56.5	A1	4253.33
57.0	A1	4267.33
57.5	A1	4285.16
58.0	A1	4308.41
58.5	A1	4337.54
59.0	A1	4373.27
59.5	A1	4415.91
60.0	A1	4465.92
60.5	A1	4522.2
61.0	A1	4584.2
61.5	A1	4649.74
62.0	A1	4716.15
62.5	A1	4779.32
63.0	A1	4836.34
63.5	A1	4883.15
64.0	A1	4916.95
64.5	A1	4936.02
65.0	A1	4941.36
65.5	A1	4933.31
66.0	A1	4913.87
66.5	A1	4886.39
67.0	A1	4853.43
67.5	A1	4815.94
68.0	A1	4775.97
68.5	A1	4735.24
69.0	A1	4693.2
69.5	A1	4650.73
70.0	A1	4609.16
70.5	A1	4568.6
71.0	A1	4528.79
71.5	A1	4490.87
72.0	A1	4454.24
72.5	A1	4419.05
73.0	A1	4385.9
73.5	A1	4355.79
74.0	A1	4329.05
74.5	A1	4306.85
75.0	A1	4288.97
75.5	A1	4275.54
76.0	A1	4265.84
76.5	A1	4259.33
77.0	A1	4255.28
77.5	A1	4253.86
78.0	A1	4254.17
78.5	A1	4256.0
79.0	A1	4258.64
79.5	A1	4261.69
80.0	A1	4263.55
80.5	A1	4263.64
81.0	A1	4261.55
81.5	A1	4256.9
82.0	A1	4248.87
82.5	A1	4238.42
83.0	A1	4225.56
83.5	A1	4210.75
84.0	A1	4194.48
84.5	A1	4177.76
85.0	A1	4160.88
85.5	A1	4144.27
86.0	A1	4127.05
86.5	A1	4109.2
87.0	A1	4090.75
87.5	A1	4070.38
88.0	A1	4048.37
88.5	A1	4025.71
89.0	A1	4003.09
89.5	A1	3980.53
90.0	A1	3959.62
90.5	A1	3939.71
91.0	A1	3920.5
91.5	A1	3901.38
92.0	A1	3881.52
92.5	A1	3860.8
93.0	A1	3840.09
93.5	A1	3819.4
94.0	A1	3800.24
94.5	A1	3781.49
95.0	A1	3766.72
25.0	A2	3055.75
25.5	A2	3055.44
26.0	A2	3055.12
26.5	A2	3054.81
27.0	A2	3054.5
27.5	A2	3054.19
28.0	A2	3053.88
28.5	A2	3053.23
29.0	A2	3052.04
29.5	A2	3049.87
30.0	A2	3047.07
30.5	A2	3043.43
31.0	A2	3040.59
