Temperature	Well	Fluorescence
25.0	A1	6049.92
25.5	A1	6045.06
26.0	A1	6040.19
26.5	A1	6035.33
27.0	A1	6030.46
27.5	A1	6025.59
28.0	A1	6020.73
28.5	A1	6019.17
29.0	A1	6020.21
29.5	A1	6024.24
30.0	A1	6031.14
30.5	A1	6041.41
31.0	A1	6054.86
31.5	A1	6071.99
32.0	A1	6092.43
32.5	A1	6116.33
33.0	A1	6143.59
33.5	A1	6175.18
34.0	A1	6211.02
34.5	A1	6251.39
35.0	A1	6296.43
35.5	A1	6345.84
36.0	A1	6397.26
36.5	A1	6449.99
37.0	A1	6503.16
37.5	A1	6556.35
38.0	A1	6609.01
38.5	A1	6662.51
39.0	A1	6716.88
39.5	A1	6772.89
40.0	A1	6830.27
40.5	A1	6890.2
41.0	A1	6952.59
41.5	A1	7017.68
42.0	A1	7085.69
42.5	A1	7157.39
43.0	A1	7232.32
43.5	A1	7310.47
44.0	A1	7392.98
44.5	A1	7479.05
45.0	A1	7568.16
45.5	A1	7660.06
46.0	A1	7754.97
46.5	A1	7850.29
47.0	A1	7945.93
47.5	A1	8040.82
48.0	A1	8133.4
48.5	A1	8220.66
49.0	A1	8302.61
49.5	A1	8377.63
50.0	A1	8444.67
50.5	A1	8502.98
51.0	A1	8553.15
51.5	A1	8594.38
52.0	A1	8626.88
52.5	A1	8650.35
53.0	A1	8665.94
53.5	A1	8674.23
54.0	A1	8676.94
54.5	A1	8676.12
55.0	A1	8676.17
55.5	A1	8680.53
56.0	A1	8694.68
56.5	A1	8724.35
57.0	A1	8774.74
57.5	A1	8851.39
58.0	A1	8959.62
58.5	A1	9102.81
59.0	A1	9281.34
59.5	A1	9493.7
60.0	A1	9732.13
60.5	A1	9986.06
61.0	A1	10242.86
61.5	A1	10489.22
62.0	A1	10711.71
62.5	A1	10900.4
63.0	A1	11047.64
63.5	A1	11148.53
64.0	A1	11203.21
64.5	A1	11215.41
65.0	A1	11191.7
65.5	A1	11141.01
66.0	A1	11072.39
66.5	A1	10992.6
67.0	A1	10907.15
67.5	A1	10819.33
68.0	A1	10730.72
68.5	A1	10642.18
69.0	A1	10553.93
69.5	A1	10466.17
70.0	A1	10379.44
70.5	A1	10293.51
71.0	A1	10208.77
71.5	A1	10126.09
72.0	A1	10045.79
72.5	A1	9967.41
73.0	A1	9891.27
73.5	A1	9816.69
74.0	A1	9743.58
74.5	A1	9670.85
75.0	A1	9598.53
75.5	A1	9526.33
76.0	A1	9454.58
76.5	A1	9382.41
77.0	A1	9310.37
77.5	A1	9238.63
78.0	A1	9166.89
78.5	A1	9094.89
79.0	A1	9023.47
79.5	A1	8952.74
80.0	A1	8882.14
80.5	A1	8812.04
81.0	A1	8743.01
81.5	A1	8674.43
82.0	A1	8606.43
82.5	A1	8539.68
83.0	A1	8474.15
83.5	A1	8409.5
84.0	A1	8345.84
84.5	A1	8282.42
85.0	A1	8219.18
85.5	A1	8156.38
86.0	A1	8093.33
86.5	A1	8030.49
87.0	A1	7968.04
87.5	A1	7904.34
88.0	A1	7838.49
88.5	A1	7771.16
89.0	A1	7701.79
89.5	A1	7631.06
90.0	A1	7560.73
90.5	A1	7491.77
91.0	A1	7423.75
91.5	A1	7356.62
92.0	A1	7289.73
92.5	A1	7222.19
93.0	A1	7152.78
93.5	A1	7081.84
94.0	A1	7008.52
94.5	A1	6934.36
95.0	A1	6856.75
25.0	A2	6222.47
25.5	A2	6216.3
26.0	A2	6210.12
26.5	A2	6203.95
27.0	A2	6197.77
27.5	A2	6191.6
28.0	A2	6185.42
28.5	A2	6180.67
29.0	A2	6176.74
29.5	A2	6174.19
30.0	A2	6172.73
30.5	A2	6172.75
31.0	A2	6175.21
31.5	A2	6180.62
32.0	A2	6188.41
32.5	A2	6198.9
33.0	A2	6211.76
33.5	A2	6227.8
34.0	A2	6246.86
34.5	A2	6268.97
35.0	A2	6293.83
35.5	A2	6321.5
36.0	A2	6349.3
36.5	A2	6377.13
37.0	A2	6405.18
37.5	A2	6433.09
38.0	A2	6460.5
38.5	A2	6488.77
39.0	A2	6517.41
39.5	A2	6546.52
40.0	A2	6576.76
40.5	A2	6608.06
41.0	A2	6639.86
41.5	A2	6672.71
42.0	A2	6705.72
42.5	A2	6737.48
43.0	A2	6768.46
43.5	A2	6798.96
44.0	A2	6828.16
44.5	A2	6856.27
45.0	A2	6884.44
45.5	A2	6912.28
46.0	A2	6939.18
46.5	A2	6965.74
47.0	A2	6991.64
47.5	A2	7015.94
48.0	A2	7037.65
48.5	A2	7056.54
49.0	A2	7071.16
49.5	A2	7080.99
50.0	A2	7085.62
50.5	A2	7085.33
51.0	A2	7079.72
51.5	A2	7069.81
52.0	A2	7056.43
52.5	A2	7040.34
53.0	A2	7022.37
53.5	A2	7004.28
54.0	A2	6986.91
54.5	A2	6971.02
55.0	A2	6958.65
55.5	A2	6951.66
56.0	A2	6951.66
56.5	A2	6961.65
57.0	A2	6983.93
57.5	A2	7021.19
58.0	A2	7076.66
58.5	A2	7153.44
59.0	A2	7253.06
59.5	A2	7378.86
60.0	A2	7530.82
60.5	A2	7707.81
